"","species","neighbor","mean","lower","upper"
"1",1,1,0.0589762036453708,-0.068231224852027,0.191016530196626
"2",1,2,-0.119853911041451,-0.515218342349649,0.282642582538717
"3",1,3,-0.0561184176480092,-0.214069976277863,0.0837412041144227
"4",1,4,0.058868493941497,-0.386761398132022,0.498853722039784
"5",1,5,-0.0614977346994687,-0.328528984049227,0.208637422097132
"6",1,6,0.0207022054015709,-0.0372828607363322,0.0750954311711725
"7",1,7,0.486690644848039,-0.849819841962935,1.73632545827122
"8",1,8,0.401891920113769,-0.528315737757111,1.31807489553746
"9",1,9,0.00761423258610034,-0.450288915945608,0.445028281868732
"10",1,10,-0.10922924351735,-0.668204974105079,0.459312012985565
"11",1,11,-0.0707594809160829,-0.928372459989046,0.75946000679863
"12",1,12,0.583960244830766,-0.507365305577854,1.67447743912912
"13",1,13,-0.00372935837282591,-0.0710074039688291,0.0595919590038083
"14",1,14,0.115928771902691,-0.188881007249269,0.414893972817985
"15",1,15,0.486441094590307,-1.08737821862217,2.08725883116147
"16",1,16,-0.207641233417947,-1.82031739860328,1.415813827373
"17",1,17,-0.222750670242342,-0.550357710544696,0.118201294495831
"18",1,18,0.00949745979442545,-0.0540559040774158,0.0786306446601786
"19",1,19,0.140080214657341,-0.461669812308145,0.719899120414951
"20",1,20,0.232762941086662,-1.32848382301672,1.80499150779287
"21",1,21,-0.104121931654826,-0.493779079951389,0.290666038425872
"22",1,22,0.103690175149274,-0.201422204311657,0.409314559595893
"23",1,23,0.0941158149976537,-0.17254587327063,0.345600206186107
"24",1,24,0.00301424057068296,-0.0608803935932355,0.0721606043626595
"25",1,25,0.0769034618967384,-0.0735775235629112,0.222098563584857
"26",1,26,-0.217604887019452,-0.843054685518989,0.392468408940068
"27",1,27,-0.0171334000127389,-0.669625765668149,0.643582132519727
"28",1,28,-0.110777523812052,-1.78786247443856,1.57844832628745
"29",1,29,0.0903395064735416,-0.472766553343784,0.617992525381873
"30",1,30,0.119188757103458,-1.50197972376543,1.75504919681328
"31",1,31,-0.766579364784278,-2.33094559278196,0.746986265350044
"32",2,1,0.0332314062242785,0.00324510453222573,0.0744693731405102
"33",2,2,0.044747454229808,0.00191535204600049,0.102210269470502
"34",2,3,0.0454658407298847,0.00520929634250158,0.103878568963986
"35",2,4,0.0189890838712239,-0.00257576038397549,0.0521882234125124
"36",2,5,0.00484536364784182,-0.0201401294318449,0.0382759661663297
"37",2,6,0.00778190293340156,-0.000481788592836445,0.0208952584233071
"38",2,7,-0.0175571273803846,-0.0772051610808794,0.0427680496403369
"39",2,8,0.0445757182383062,-0.0118068538765304,0.1296323411918
"40",2,9,0.0331795761559725,-0.035610121862977,0.118407294832607
"41",2,10,0.03290435428913,-0.0241707556577897,0.105618721739466
"42",2,11,0.00938460143109398,-0.0735234640455356,0.103335222152382
"43",2,12,0.0352864798646728,-0.0350870303010087,0.129731900032188
"44",2,13,-0.00546826762490117,-0.104889444910236,0.0814091135262084
"45",2,14,0.0381317126153959,-0.000747265181672592,0.0978832733362456
"46",2,15,0.0169757838714004,-0.0543171358368421,0.102327821700298
"47",2,16,0.0190433018488138,-0.0665420283384258,0.118759773434319
"48",2,17,0.0120394606544445,-0.0152446665649701,0.0380860258485829
"49",2,18,0.0136467806324449,-0.0733456321640896,0.109960812218037
"50",2,19,0.000591904044555234,-0.0672667756650172,0.0660842909036928
"51",2,20,0.00472368062846634,-0.0843328725830379,0.100109027748309
"52",2,21,0.0547737786532064,0.00412943911693087,0.129197126722661
"53",2,22,0.0218315860065135,-0.0342789006681772,0.0954502334359501
"54",2,23,0.0114777831368058,-0.0132043283143123,0.0393938818148758
"55",2,24,0.00414070903655603,-0.0883242459641761,0.0957432784332242
"56",2,25,0.0226270929162144,0.00158002258171209,0.055540658875544
"57",2,26,-0.00250176414577112,-0.046353722973959,0.0436192852873692
